item,mdl_no,source_document,subject_id,subject_definition,reached,express,party_direction,court_resolution,note_optional
1,3166,"MDL 3166 - Pretrial Order No. 1, In re Roblox Corp. Child Sexual Exploitation Litig. (N.D. Cal. Dec. 17, 2025) (Seeborg, C.J.), ECF 2",b3a_consolidated_pleadings,(b)(3)(A) whether consolidated pleadings should be prepared,,,,,
2,3166,"MDL 3166 - Pretrial Order No. 1, In re Roblox Corp. Child Sexual Exploitation Litig. (N.D. Cal. Dec. 17, 2025) (Seeborg, C.J.), ECF 2",b2a_selection_procedure,(b)(2)(A)(iii) the procedure for selecting leadership,,,,,
3,3172,"MDL 3172 - Order Upon Transfer (Feb. 18, 2026) AND chambers letter (June 22, 2026) together, In re Cartiva Synthetic Cartilage Implant Prod. Liab. Litig. (E.D. Ark.) (Baker, C.J.), ECF 5 and 15",b2a_timing,(b)(2)(A)(i) the timing of the appointments,,,,,
4,3181,"MDL 3181 - Pretrial Order No. 1: Setting Initial Scheduling Conference, In re Boston Scientific Spinal Cord Stimulator Prods. Liab. Litig. (C.D. Cal. June 23, 2026) (Staton, J.), ECF 2",b3f_magistrate_master,(b)(3)(F) referral to a magistrate judge or a master,,,,,
5,3179,"MDL 3179 - Order for Telephone Conference, In re Fire Apparatus Antitrust Litig. (E.D. Wis. Apr. 10, 2026) (Griesbach, J.), ECF 2",b2a_periodic_review,(b)(2)(A)(iii) whether the appointments should be reviewed periodically,,,,,
6,3167,"MDL 3167 - Notice and Order of Case Management Hearing (PTO 1), In re Broiler Chicken Grower Antitrust Litig. (No. III) (D. Utah Dec. 31, 2025) (Shelby, J.)",b2a_responsibilities,(b)(2)(A)(iv) their responsibilities and authority,,,,,
7,3163,"MDL 3163 - Case Management Order No. 1, In re GLP-1 RAs NAION Prods. Liab. Litig. (E.D. Pa. Dec. 23, 2025) (Marston, J.), ECF 2",b2a_timing,(b)(2)(A)(i) the timing of the appointments,,,,,
8,3185,"MDL 3185 - Order Setting Initial Conference, In re Cognizant/TriZetto Data Sec. Breach Litig. (E.D. Mo. June 11, 2026) (Ross, J.), ECF 6",b2a_nonleadership_limits,(b)(2)(A)(vi) any limits on activity by nonleadership counsel,,,,,
9,3162,"MDL 3162 - Initial Procedure Order No. 1, In re Class Action Settlement Administration Litig. (D.D.C. Jan. 7, 2026) (Bates, J.), ECF 8",b3e_settlement_facilitation,(b)(3)(E) measures to facilitate resolving some or all actions,,,,,
10,3166,"MDL 3166 - Pretrial Order No. 1, In re Roblox Corp. Child Sexual Exploitation Litig. (N.D. Cal. Dec. 17, 2025) (Seeborg, C.J.), ECF 2",b2a_periodic_review,(b)(2)(A)(iii) whether the appointments should be reviewed periodically,,,,,
