item,mdl_no,source_document,subject_id,subject_definition,reached,express,party_direction,court_resolution,note_optional
25,3175,"MDL 3175 - Order Setting Judicial Management Conference, In re Shell Eggs Antitrust Litig. (W.D. Wis. Mar. 26, 2026) (Peterson, J.), ECF 23 in 3:26-cv-00157",b2a_periodic_review,(b)(2)(A)(iii) whether the appointments should be reviewed periodically,,,,,
4,3181,"MDL 3181 - Pretrial Order No. 1: Setting Initial Scheduling Conference, In re Boston Scientific Spinal Cord Stimulator Prods. Liab. Litig. (C.D. Cal. June 23, 2026) (Staton, J.), ECF 2",b3f_magistrate_master,(b)(3)(F) referral to a magistrate judge or a master,,,,,
40,3171,"MDL 3171 - Pretrial Order No. 1, In re Lyft Passenger Sexual Assault Litig. (N.D. Cal. Feb. 12, 2026) (Lin, J.), ECF 2",b2e_related_actions,(b)(2)(E) related actions elsewhere and methods for coordinating,,,,,
47,3166,"MDL 3166 - Pretrial Order No. 1, In re Roblox Corp. Child Sexual Exploitation Litig. (N.D. Cal. Dec. 17, 2025) (Seeborg, C.J.), ECF 2",b2a_communication,(b)(2)(A)(v) methods for communicating with and reporting to the court and nonleadership counsel,,,,,
5,3179,"MDL 3179 - Order for Telephone Conference, In re Fire Apparatus Antitrust Litig. (E.D. Wis. Apr. 10, 2026) (Griesbach, J.), ECF 2",b2a_periodic_review,(b)(2)(A)(iii) whether the appointments should be reviewed periodically,,,,,
41,3181,"MDL 3181 - Pretrial Order No. 1: Setting Initial Scheduling Conference, In re Boston Scientific Spinal Cord Stimulator Prods. Liab. Litig. (C.D. Cal. June 23, 2026) (Staton, J.), ECF 2",b2d_direct_filing,(b)(2)(D) how to manage the direct filing of new actions,,,,,
32,3171,"MDL 3171 - Pretrial Order No. 1, In re Lyft Passenger Sexual Assault Litig. (N.D. Cal. Feb. 12, 2026) (Lin, J.), ECF 2",b2a_selection_procedure,(b)(2)(A)(iii) the procedure for selecting leadership,,,,,
35,3180,"MDL 3180 - Initial Procedure Order No. 1, In re Dupixent (Dupilumab) Prods. Liab. Litig. (D.N.J. June 11, 2026) (Quraishi, J.), ECF 3",b3b_factual_basis_exchange,(b)(3)(B) how and when the parties will exchange information about the factual bases,,,,,
3,3172,"MDL 3172 - Order Upon Transfer (Feb. 18, 2026) AND chambers letter (June 22, 2026) together, In re Cartiva Synthetic Cartilage Implant Prod. Liab. Litig. (E.D. Ark.) (Baker, C.J.), ECF 5 and 15",b2a_timing,(b)(2)(A)(i) the timing of the appointments,,,,,
37,3163,"MDL 3163 - Case Management Order No. 1, In re GLP-1 RAs NAION Prods. Liab. Litig. (E.D. Pa. Dec. 23, 2025) (Marston, J.), ECF 2",b3b_factual_basis_exchange,(b)(3)(B) how and when the parties will exchange information about the factual bases,,,,,
27,3175,"MDL 3175 - Order Setting Judicial Management Conference, In re Shell Eggs Antitrust Litig. (W.D. Wis. Mar. 26, 2026) (Peterson, J.), ECF 23 in 3:26-cv-00157",b2a_leadership,(b)(2)(A) whether leadership counsel should be appointed,,,,,
39,3170,"MDL 3170 - Case Management Orders #1 AND #2 together, In re Trans Union Customer Data Sec. Breach Litig. (N.D. Ill. Dec. 18, 2025) (Gettleman, J.), ECF 22 and 23",b2a_communication,(b)(2)(A)(v) methods for communicating with and reporting to the court and nonleadership counsel,,,,,
22,3172,"MDL 3172 - Order Upon Transfer (Feb. 18, 2026) AND chambers letter (June 22, 2026) together, In re Cartiva Synthetic Cartilage Implant Prod. Liab. Litig. (E.D. Ark.) (Baker, C.J.), ECF 5 and 15",b3f_magistrate_master,(b)(3)(F) referral to a magistrate judge or a master,,,,,
46,3174,"MDL 3174 - Order re: Initial Case Management Conference, In re Air Crash at Muan Int'l Airport (W.D. Wash. Apr. 16, 2026) (Robart, J.), ECF 4",b3b_factual_basis_exchange,(b)(3)(B) how and when the parties will exchange information about the factual bases,,,,,
28,3174,"MDL 3174 - Order re: Initial Case Management Conference, In re Air Crash at Muan Int'l Airport (W.D. Wash. Apr. 16, 2026) (Robart, J.), ECF 4",b2b_vacate_modify,(b)(2)(B) previously entered orders that should be vacated or modified,,,,,
